mode,stage,time(s)
BFS,1,0.2665715217590332
BFS,2,1.3626389503479004
BFS,3,0.3552215099334717
BFS,4,0.42288899421691895
BFS,5,1.833216667175293
BFS,6,0.49588990211486816
BFS,7,0.8004813194274902
BFS,8,4.72867488861084
BFS,9,5.536470890045166
BFS,10,106.90538954734802
BFS,11,1.130608320236206
BFS,12,2.1077935695648193
BFS,13,1.1048107147216797
BFS,14,3.5238804817199707
BFS,15,81.39696860313416
BFS,16,2.3348429203033447
BFS,17,5.38768458366394
BFS,18,4.207414150238037
BFS,19,1.6826848983764648
BFS,20,73.62820434570312
BFS,21,1.7158927917480469
BFS,22,2.199371576309204
BFS,23,78.81439995765686
BFS,24,3.8174939155578613
BFS,25,3.3000831604003906
BFS,26,159.8135540485382
BFS,27,2.7941131591796875
BFS,28,131.71868252754211
BFS,29,13.943130493164062
BFS,30,5.530349969863892
BFS,31,8.13841199874878
BFS,32,4.421250820159912
BFS,33,7.482118844985962
